,name,experiences_offered,transit,host_since,host_location,host_response_time,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,street,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,city,state,zipcode,market,smart_location,country_code,country,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,instant_bookable,is_business_travel_ready,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
10,Off Sunset Wrap-Around Terr Runyon Canyon View WeH,none,Buses are within a half a block away that go in every direction and the metro is two bus stops away or a 5 minute walk.,2008-09-16,"Los Angeles, California, United States",within an hour,t,Hollywood,2.0,2.0,t,t,"Los Angeles, CA, United States",,Hollywood,City of Los Angeles,Los Angeles,CA,90046,Los Angeles,"Los Angeles, CA",US,United States,34.09521264843879,-118.34801136655872,t,Apartment,Private room,1,1.5,1.0,1.0,Real Bed,"{Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Free parking on premises"",Gym,Elevator,""Hot tub"",""Buzzer/wireless intercom"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""EV charger"",""Single level home"",""BBQ grill"",""Patio or balcony"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed"",""Wide hallway clearance"",""Step-free access"",""Well-lit path to entrance"",""Step-free access"",""Wide doorway"",""Wide clearance to bed"",""Accessible-height bed"",""Step-free access"",""Wide doorway"",""Accessible-height toilet"",""Wide clearance to shower, toilet"",""Step-free access"",""Wide entryway""}",$99.00,$269.00,"$1,199.00",$300.00,$89.00,1,$0.00,6,366,6,6,366,366,6.0,366.0,t,9,9,14,289,12,1,96.0,10.0,9.0,10.0,10.0,9.0,9.0,f,t,f,strict_14_with_grace_period,f,f,2,0,2,0,0.1
11,15min from anywhere in Los Angeles,none,"Public transportation is very accessible. We are within walking distance from major bus routes that take you to downtown LA, Venice Beach, and West Hollywood. Our closest train stations are on the Expo/Culver City Line that take you Downtown LA and Santa Monica. Check the Metro LA website for more details.",2009-05-20,"Los Angeles, California, United States",within a few hours,t,,1.0,1.0,t,t,"Los Angeles, CA, United States",South Robertson,Mid-City,City of Los Angeles,Los Angeles,CA,90034-2203,Los Angeles,"Los Angeles, CA",US,United States,34.03475197241471,-118.37751365404459,t,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{Internet,Wifi,Kitchen,Heating,""Family/kid friendly"",Essentials,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50""}",$80.00,$600.00,"$2,000.00",,$25.00,2,$25.00,2,365,2,2,365,365,2.0,365.0,t,25,31,31,72,187,42,94.0,10.0,9.0,10.0,10.0,10.0,10.0,f,f,f,strict_14_with_grace_period,f,f,1,1,0,0,1.6
12,"2nd story, wood floor bedroom w/ shared bathroom.",none,,2009-06-15,"Bellflower, California, United States",within an hour,f,Bellflower,3.0,3.0,t,f,"Bellflower, CA, United States",,Bellflower,Other Cities,Bellflower,CA,90706,Los Angeles,"Bellflower, CA",US,United States,33.87609658510749,-118.115089842138,f,House,Private room,2,1.0,1.0,1.0,Real Bed,"{Wifi,""Air conditioning"",""Free parking on premises"",Heating,Washer,Dryer,""Smoke detector"",Essentials,Shampoo,Hangers,Iron,""Laptop friendly workspace"",""Host greets you""}",$45.00,,,,$30.00,1,$0.00,1,730,1,1,730,730,1.0,730.0,t,30,60,90,179,2,2,100.0,9.0,10.0,10.0,10.0,10.0,9.0,f,t,f,flexible,f,f,2,0,2,0,2.0
13,Cozy Cottage/Home Away from Home/Close2Attractions,none,"If you are flying into LAX and you arrive between 3 and 7PM on a weekday, we highly recommend stopping for dinner somewhere (Marina Del Rey or Culver City is nice) or simply just spend some time somewhere near LAX.  Then drive to our place around 7:30 PM.   It will make a huge difference in the amount of time you spend in traffic during rush hour. There is a bus stop at the end of our street, approximately a 3 minute walk.   Also, the Glendale Metrolink / Amtrack is about a 5 minute drive. Easy access to the 5, 2, 110, and 134 freeway, each less than 2 miles away, if not closer. 10 minutes to Downtown LA 10 minutes to Burbank 5   minutes to Glendale and Silverlake 15 minutes to Universal Studios 15 minutes to Hollywood Chinese Theater & Kodak Theater 15 minutes to Pasadena 20 minutes to The Grove & Farmers Market 25 minutes to West Hollywood 25 minutes to Santa Monica 30 minutes to West LA & UCLA 30 minutes to Beverly Hills 30 minutes to LAX 40 minutes to Disneyland 20 minutes to JPL",2009-06-19,"Los Angeles, California, United States",within an hour,t,Atwater Village,2.0,2.0,t,t,"Los Angeles, CA, United States",Atwater Village,Atwater Village,City of Los Angeles,Los Angeles,CA,90039,Los Angeles,"Los Angeles, CA",US,United States,34.115425878325595,-118.2609016944598,t,Guesthouse,Entire home/apt,4,1.0,1.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Pets live on this property"",Dog(s),""Free street parking"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Private entrance"",""High chair"",Crib,""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""BBQ grill"",""Garden or backyard"",""Beach essentials"",""Luggage dropoff allowed"",""Long term stays allowed"",""Step-free access"",""Flat path to front door"",""Well-lit path to entrance"",""Disabled parking spot"",""Step-free access"",""Wide clearance to bed"",""Accessible-height bed"",""Step-free access"",""Step-free access"",""Wide entryway"",""Handheld shower head""}",$85.00,$450.00,"$1,500.00",$100.00,$25.00,2,$5.00,1,1250,1,1,1250,1250,1.0,1250.0,t,9,22,42,219,140,54,99.0,10.0,10.0,10.0,10.0,10.0,10.0,f,t,f,moderate,f,f,2,2,0,0,1.6
14,5-Star Beverly Hills Suite,none,"Most use Lyft or Uber to get around. Between rental fees, gas and parking, can be cheaper than renting a car and they are allowed to pick you up at the upper departure area at LAX.  There are buses going in all directions surrounding me.  N/S buses going up and down La Cienega & Robertson.  And E/W buses going across Wilshire & Olympic.  None more than 2-4 blocks away.  The closest train is 10 minutes south in Culver City. There is also a new free smart phone app for coordinating your travel about the sprawling city that includes maps and routes for all buses and trains.  It's called Go511.",2009-06-20,"Beverly Hills, California, United States",within an hour,t,South Robertson,1.0,1.0,t,t,"Beverly Hills, CA, United States",Beverly Hills,Beverly Hills,Other Cities,Beverly Hills,CA,90211,Los Angeles,"Beverly Hills, CA",US,United States,34.06409577480366,-118.38030183971071,f,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,Wifi,""Air conditioning"",Kitchen,""Free street parking"",""Indoor fireplace"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self check-in"",""Building staff"",""Private entrance"",Bathtub,""Stair gates"",""Fireplace guards"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Beach essentials"",""Luggage dropoff allowed"",""Long term stays allowed"",""Wide hallway clearance"",""Wide doorway"",""Well-lit path to entrance"",""Step-free access"",""Wide doorway"",""Accessible-height bed"",""Step-free access"",""Step-free access"",""Wide entryway""}",$129.00,$735.00,"$2,400.00",,$45.00,2,$45.00,2,49,2,2,49,49,2.0,49.0,t,3,3,3,180,220,14,96.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,f,moderate,t,t,1,0,1,0,1.89
15,Vintage Artist Loft w/Swimming Pool,none,"We are close from Washington metro station, if your activity is in downtown or close communities like Hollywood/ Silver Lake  you can get around easily with riding services like Lyft or Uber in low rates.",2009-06-28,"Los Angeles, California, United States",within an hour,t,Downtown,1.0,1.0,t,t,"Los Angeles, CA, United States",Downtown,Downtown,City of Los Angeles,Los Angeles,CA,90021,Los Angeles,"Los Angeles, CA",US,United States,34.030472258240884,-118.23648647586452,t,Loft,Entire home/apt,4,1.0,1.0,2.0,Real Bed,"{Internet,Wifi,""Air conditioning"",Pool,Kitchen,""Free parking on premises"",Breakfast,Elevator,""Free street parking"",""Hot tub"",""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",Bathtub,""Hot water"",""Luggage dropoff allowed"",""Host greets you""}",$108.00,,,$100.00,$40.00,1,$20.00,2,10,2,2,10,10,2.0,10.0,t,0,0,21,21,151,13,93.0,9.0,9.0,10.0,10.0,8.0,9.0,f,f,f,moderate,f,f,1,1,0,0,1.34
16,Chateau de Soleil - Private Room,none,,2009-07-17,"Los Angeles, California, United States",,f,North Hollywood,6.0,6.0,t,t,"North Hollywood, CA, United States",,North Hollywood,City of Los Angeles,North Hollywood,CA,91601,Los Angeles,"North Hollywood, CA",US,United States,34.17204962807189,-118.38580035098221,t,Apartment,Private room,1,1.5,1.0,1.0,Real Bed,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,Gym,""Free street parking"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,""Lock on bedroom door"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self check-in"",""Building staff"",""Hot water"",""Long term stays allowed""}",$65.00,$450.00,"$1,350.00",,,1,$0.00,4,730,4,4,730,730,4.0,730.0,t,30,60,90,365,3,0,93.0,9.0,9.0,10.0,9.0,9.0,9.0,f,f,f,strict_14_with_grace_period,f,f,6,0,1,5,0.04
17,Chateau de Soleil - Shared Double ,none,,2009-07-17,"Los Angeles, California, United States",,f,North Hollywood,6.0,6.0,t,t,"North Hollywood, CA, United States",,North Hollywood,City of Los Angeles,North Hollywood,CA,91601,Los Angeles,"North Hollywood, CA",US,United States,34.172117195711905,-118.38622732160908,t,Apartment,Shared room,1,1.5,1.0,2.0,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,Gym,""Free street parking"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,""Self check-in"",""Building staff"",""Hot water""}",$52.00,$335.00,$925.00,,,1,$35.00,5,730,5,5,730,730,5.0,730.0,t,30,60,90,365,5,0,84.0,9.0,8.0,10.0,9.0,9.0,8.0,f,f,f,strict_14_with_grace_period,f,f,6,0,1,5,0.07
18,Chateau de Soleil - Shared Triple,none,,2009-07-17,"Los Angeles, California, United States",,f,North Hollywood,6.0,6.0,t,t,"North Hollywood, CA, United States",,North Hollywood,City of Los Angeles,North Hollywood,CA,91601,Los Angeles,"North Hollywood, CA",US,United States,34.172914873472656,-118.384169043055,t,Apartment,Shared room,3,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,Gym,Heating,Washer,Dryer,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",$39.00,$245.00,$775.00,,,1,$28.00,5,730,5,5,730,730,5.0,730.0,t,30,60,90,365,17,0,76.0,8.0,7.0,8.0,8.0,9.0,8.0,f,f,f,moderate,f,f,6,0,1,5,0.17
19,Cozy Guest House on Venice Walk St.,none,"Big Blue Bus #3, at the corner of Lincoln Blvd and Superba...going north, at the corner of Lincoln and Venice...going south This goes into Santa Monica at Colorado and 4th St,  and to the airport Expo Line train to downtown LA can be accessed at Colorado and 4th Street in Santa Monica. The Big Blue Bus will take you there.",2009-07-22,"Venice, California, United States",within a few hours,t,Venice,1.0,1.0,t,t,"Venice, CA, United States",Venice,Venice,City of Los Angeles,Venice,CA,90291,Los Angeles,"Venice, CA",US,United States,33.99398606348495,-118.45636703891633,t,Guesthouse,Entire home/apt,2,1.0,0.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Pets live on this property"",Cat(s),""Free street parking"",Heating,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,Other}",$121.00,,,$0.00,$52.00,1,$0.00,3,22,3,3,22,22,3.0,22.0,t,27,49,74,347,370,25,94.0,10.0,10.0,10.0,10.0,10.0,9.0,f,f,f,strict_14_with_grace_period,t,t,1,1,0,0,3.33
